step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,guaman-poma-nueva,0.5,0.5,1,,What is this image and what does it mean?,Let's learn more!,,,,,,,,
2,guaman-poma-nueva,0.5226772313923655,0.5924376117251231,1.391885964912281,,What does the drawing show?,"The drawing, done by Guamán Poma in the year 1615, is an artist's rendering of the biblical story of Noah's Ark.",,,,,,,,
3,guaman-poma-nueva,0.5238662853375066,0.592486372261615,1.6702631578947371,,What is the story of Noah's Ark?,"The story of Noah's Ark is a story from the Old Testament. It tells the story of a man, named Noah, who is chosen by God to build a boat (ark) and load the boat with his family and two of every animal on Earth. Once the ark is built and filled, God sends a great flood to Earth, wiping out every bit of humanity except for those on Noah's boat. After 40 years, God tells Noah he can come out from the boat, and Noah exits to see a new world.",,Why does God flood the Earth?,noahs-ark-why-does-god.md,Why is Noah spared?,noahs-ark-why-is-noah.md,,,
4,,,,,,What is the context of the painting itself?,"The painting is thought to have been produced in 1615 near the Andes which, at the time, were experiencing severe pressure from colonial powers. Colonial forces were claiming indigenous land as their own and, at the same time, subjecting indigenous peoples to servitude and extreme violence. ",,,,,,,,
5,guaman-poma-nueva,0.5340257624785594,0.5875458756421132,1.6702631578947371,,Why does it matter?,"The story of Noah's Ark, combined with the historical context of the painting itself, can lead us to draw conclusions about the artist's meanings. Poma himself was an indigenous person, often critical of the Spanish treatment of indigenous peoples in South America. In this painting, Poma is insinuating that the environment he is witnessing is so corrupt and so wrong that it is similar to the environment that sparked God's great flood. Additionally, he draws comparison between the indigenous peoples and Noah himself through his inclusion of indigenous imagery, such as llamas, in the painting.",,Why Llamas?,noahs-ark-why-llamas.md,,,,,
6,guaman-poma-nueva,0.5341149151188069,0.5848178979828926,2.505394736842106,,What role does religion play?,"A key motivating reason for the Spanish to attempt to colonize South America was to spread Christianity. The indigenous people were considered ""Pagan"" by the Spanish and it was believed they needed to convert to Christianity in order to be saved. In using religious imagery in his painting, Poma emphasizes the moral incorrectness of the Spanish colonization and highlights the contradictory nature between Christian doctrine and the Spanish treatment of indigenous peoples.",,,,,,,,
